path,label,split
data\positives\vangogh\Vincent_van_Gogh_366.jpg,1,train
data\negatives\Hieronymus_Bosch_27.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_697.jpg,1,train
data\negatives\Georges_Seurat_34.jpg,0,train
data\negatives\Joan_Miro_77.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_128.jpg,0,train
data\negatives\Alfred_Sisley_72.jpg,0,train
data\negatives\Camille_Pissarro_12.jpg,0,train
data\negatives\Edvard_Munch_25.jpg,0,train
data\negatives\Alfred_Sisley_6.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_844.jpg,1,train
data\negatives\Paul_Klee_186.jpg,0,train
data\negatives\Amedeo_Modigliani_47.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_103.jpg,0,train
data\negatives\Albrecht_Du╠êrer_239.jpg,0,train
data\negatives\Gustave_Courbet_9.jpg,0,train
data\negatives\Piet_Mondrian_63.jpg,0,train
data\negatives\Francisco_Goya_140.jpg,0,train
data\negatives\Paul_Gauguin_121.jpg,0,train
data\negatives\Titian_124.jpg,0,train
data\negatives\William_Turner_32.jpg,0,train
data\negatives\Alfred_Sisley_106.jpg,0,train
data\negatives\Raphael_44.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_789.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_140.jpg,1,train
data\negatives\Amedeo_Modigliani_167.jpg,0,train
data\negatives\Albrecht_Du╠êrer_262.jpg,0,train
data\negatives\Alfred_Sisley_164.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_638.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_760.jpg,1,train
data\negatives\Rembrandt_166.jpg,0,train
data\negatives\Edgar_Degas_309.jpg,0,train
data\negatives\Amedeo_Modigliani_140.jpg,0,train
data\negatives\Andy_Warhol_1.jpg,0,train
data\negatives\Paul_Klee_185.jpg,0,train
data\negatives\Alfred_Sisley_43.jpg,0,train
data\negatives\Georges_Seurat_41.jpg,0,train
data\negatives\Albrecht_Du╠êrer_226.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_16.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_586.jpg,1,train
data\negatives\Camille_Pissarro_83.jpg,0,train
data\negatives\Henri_Rousseau_15.jpg,0,train
data\negatives\Alfred_Sisley_216.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_393.jpg,1,train
data\negatives\Titian_31.jpg,0,train
data\negatives\Albrecht_Du╠êrer_281.jpg,0,train
data\negatives\Albrecht_Du╠êrer_325.jpg,0,train
data\negatives\Camille_Pissarro_87.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_399.jpg,1,train
data\negatives\Alfred_Sisley_89.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_143.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_6.jpg,1,train
data\negatives\Albrecht_Du╠êrer_229.jpg,0,train
data\negatives\Camille_Pissarro_66.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_834.jpg,1,train
data\negatives\El_Greco_7.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_778.jpg,1,train
data\negatives\Gustav_Klimt_24.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_42.jpg,1,train
data\negatives\Claude_Monet_60.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_111.jpg,0,train
data\negatives\Pablo_Picasso_297.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_764.jpg,1,train
data\negatives\Henri_Matisse_43.jpg,0,train
data\negatives\Piet_Mondrian_75.jpg,0,train
data\negatives\Andy_Warhol_31.jpg,0,train
data\negatives\Alfred_Sisley_12.jpg,0,train
data\negatives\Alfred_Sisley_11.jpg,0,train
data\negatives\Alfred_Sisley_117.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_308.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_517.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_725.jpg,1,train
data\negatives\Kazimir_Malevich_12.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_598.jpg,1,train
data\negatives\Paul_Gauguin_255.jpg,0,train
data\negatives\Claude_Monet_5.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_504.jpg,1,train
data\negatives\Joan_Miro_94.jpg,0,train
data\negatives\Jan_van_Eyck_18.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_254.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_510.jpg,1,train
data\negatives\Marc_Chagall_74.jpg,0,train
data\negatives\Vasiliy_Kandinskiy_68.jpg,0,train
data\negatives\Edgar_Degas_424.jpg,0,train
data\negatives\Marc_Chagall_112.jpg,0,train
data\negatives\Giotto_di_Bondone_105.jpg,0,train
data\negatives\Mikhail_Vrubel_168.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_411.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_622.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_148.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_313.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_247.jpg,1,train
data\negatives\Paul_Gauguin_42.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_646.jpg,1,train
data\negatives\Gustav_Klimt_43.jpg,0,train
data\negatives\Amedeo_Modigliani_112.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_280.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_163.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_665.jpg,1,train
data\negatives\Alfred_Sisley_75.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_639.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_171.jpg,0,train
data\negatives\Gustav_Klimt_69.jpg,0,train
data\negatives\Paul_Gauguin_48.jpg,0,train
data\negatives\Leonardo_da_Vinci_23.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_340.jpg,1,train
data\negatives\Paul_Gauguin_92.jpg,0,train
data\negatives\Alfred_Sisley_215.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_302.jpg,0,train
data\negatives\Paul_Gauguin_259.jpg,0,train
data\negatives\Alfred_Sisley_123.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_413.jpg,1,train
data\negatives\Rene_Magritte_101.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_776.jpg,1,train
data\negatives\Gustav_Klimt_48.jpg,0,train
data\negatives\Claude_Monet_13.jpg,0,train
data\negatives\Edgar_Degas_226.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_657.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_328.jpg,1,train
data\negatives\Camille_Pissarro_13.jpg,0,train
data\negatives\Mikhail_Vrubel_13.jpg,0,train
data\negatives\Alfred_Sisley_56.jpg,0,train
data\negatives\Alfred_Sisley_70.jpg,0,train
data\negatives\Alfred_Sisley_79.jpg,0,train
data\negatives\Gustav_Klimt_4.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_799.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_686.jpg,1,train
data\negatives\Paul_Klee_178.jpg,0,train
data\negatives\Alfred_Sisley_66.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_186.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_603.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_509.jpg,1,train
data\negatives\Rene_Magritte_134.jpg,0,train
data\negatives\Camille_Pissarro_2.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_429.jpg,1,train
data\negatives\Mikhail_Vrubel_69.jpg,0,train
data\negatives\Marc_Chagall_85.jpg,0,train
data\negatives\Piet_Mondrian_78.jpg,0,train
data\negatives\Alfred_Sisley_251.jpg,0,train
data\negatives\Andy_Warhol_162.jpg,0,train
data\negatives\Alfred_Sisley_128.jpg,0,train
data\negatives\Andrei_Rublev_25.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_13.jpg,1,train
data\negatives\Edgar_Degas_513.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_868.jpg,1,train
data\negatives\Alfred_Sisley_36.jpg,0,train
data\negatives\Alfred_Sisley_237.jpg,0,train
data\negatives\Alfred_Sisley_86.jpg,0,train
data\negatives\Hieronymus_Bosch_32.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_739.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_97.jpg,1,train
data\negatives\Edgar_Degas_304.jpg,0,train
data\negatives\Diego_Velazquez_127.jpg,0,train
data\negatives\Mikhail_Vrubel_117.jpg,0,train
data\negatives\Camille_Pissarro_14.jpg,0,train
data\negatives\Paul_Gauguin_95.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_765.jpg,1,train
data\negatives\Paul_Gauguin_200.jpg,0,train
data\negatives\Andy_Warhol_79.jpg,0,train
data\negatives\Edgar_Degas_537.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_475.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_32.jpg,1,train
data\negatives\Paul_Cezanne_33.jpg,0,train
data\negatives\Sandro_Botticelli_125.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_182.jpg,1,train
data\negatives\Henri_Matisse_178.jpg,0,train
data\negatives\Edgar_Degas_194.jpg,0,train
data\negatives\Alfred_Sisley_184.jpg,0,train
data\negatives\Diego_Velazquez_3.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_452.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_579.jpg,1,train
data\negatives\Paul_Klee_127.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_404.jpg,1,train
data\negatives\Francisco_Goya_223.jpg,0,train
data\negatives\Salvador_Dali_51.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_458.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_68.jpg,1,train
data\negatives\Gustav_Klimt_110.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_347.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_169.jpg,1,train
data\negatives\Paul_Gauguin_1.jpg,0,train
data\negatives\Georges_Seurat_35.jpg,0,train
data\negatives\Georges_Seurat_3.jpg,0,train
data\negatives\Giotto_di_Bondone_44.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_505.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_528.jpg,1,train
data\negatives\Alfred_Sisley_14.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_398.jpg,1,train
data\negatives\Paul_Gauguin_244.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_89.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_209.jpg,0,train
data\negatives\Peter_Paul_Rubens_121.jpg,0,train
data\negatives\Claude_Monet_22.jpg,0,train
data\negatives\Mikhail_Vrubel_139.jpg,0,train
data\negatives\Alfred_Sisley_203.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_329.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_876.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_802.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_11.jpg,1,train
data\negatives\Amedeo_Modigliani_125.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_70.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_92.jpg,1,train
data\negatives\Marc_Chagall_63.jpg,0,train
data\negatives\Edgar_Degas_405.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_437.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_22.jpg,1,train
data\negatives\Paul_Gauguin_311.jpg,0,train
data\negatives\Frida_Kahlo_32.jpg,0,train
data\negatives\Paul_Gauguin_140.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_262.jpg,1,train
data\negatives\Gustav_Klimt_76.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_294.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_463.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_239.jpg,1,train
data\negatives\Alfred_Sisley_205.jpg,0,train
data\negatives\Alfred_Sisley_4.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_502.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_855.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_360.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_857.jpg,1,train
data\negatives\Pablo_Picasso_318.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_205.jpg,1,train
data\negatives\Marc_Chagall_57.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_520.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_726.jpg,1,train
data\negatives\Albrecht_Du╠êrer_147.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_5.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_781.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_873.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_185.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_331.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_719.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_847.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_676.jpg,1,train
data\negatives\Claude_Monet_70.jpg,0,train
data\negatives\Edgar_Degas_525.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_50.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_530.jpg,1,train
data\negatives\Peter_Paul_Rubens_62.jpg,0,train
data\negatives\Alfred_Sisley_34.jpg,0,train
data\negatives\Paul_Gauguin_28.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_380.jpg,1,train
data\negatives\Sandro_Botticelli_102.jpg,0,train
data\negatives\Claude_Monet_48.jpg,0,train
data\negatives\Henri_de_Toulouse-Lautrec_7.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_254.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_357.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_848.jpg,1,train
data\negatives\Edgar_Degas_43.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_307.jpg,1,train
data\negatives\Pablo_Picasso_148.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_499.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_147.jpg,1,train
data\negatives\Henri_de_Toulouse-Lautrec_66.jpg,0,train
data\negatives\Edgar_Degas_528.jpg,0,train
data\negatives\Salvador_Dali_117.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_564.jpg,1,train
data\negatives\Leonardo_da_Vinci_112.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_874.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_158.jpg,1,train
data\negatives\Pablo_Picasso_129.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_139.jpg,0,train
data\negatives\Paul_Klee_149.jpg,0,train
data\negatives\Mikhail_Vrubel_35.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_623.jpg,1,train
data\negatives\Alfred_Sisley_141.jpg,0,train
data\negatives\Marc_Chagall_78.jpg,0,train
data\negatives\Paul_Klee_8.jpg,0,train
data\negatives\Marc_Chagall_59.jpg,0,train
data\negatives\Pablo_Picasso_287.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_417.jpg,1,train
data\negatives\Titian_98.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_649.jpg,1,train
data\negatives\Pieter_Bruegel_116.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_248.jpg,0,train
data\negatives\Albrecht_Du╠êrer_314.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_303.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_50.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_593.jpg,1,train
data\negatives\Claude_Monet_18.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_264.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_265.jpg,0,train
data\negatives\Peter_Paul_Rubens_13.jpg,0,train
data\negatives\Andy_Warhol_74.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_599.jpg,1,train
data\negatives\Camille_Pissarro_17.jpg,0,train
data\negatives\Gustav_Klimt_50.jpg,0,train
data\negatives\Alfred_Sisley_35.jpg,0,train
data\negatives\Salvador_Dali_4.jpg,0,train
data\negatives\Alfred_Sisley_58.jpg,0,train
data\negatives\Alfred_Sisley_183.jpg,0,train
data\negatives\Jan_van_Eyck_9.jpg,0,train
data\negatives\Alfred_Sisley_167.jpg,0,train
data\negatives\Albrecht_Du╠êrer_106.jpg,0,train
data\negatives\Andrei_Rublev_88.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_794.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_261.jpg,1,train
data\negatives\Alfred_Sisley_181.jpg,0,train
data\negatives\Andy_Warhol_134.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_186.jpg,0,train
data\negatives\Albrecht_Du╠êrer_268.jpg,0,train
data\negatives\Pablo_Picasso_351.jpg,0,train
data\negatives\Pieter_Bruegel_34.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_31.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_153.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_41.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_440.jpg,1,train
data\negatives\Edgar_Degas_526.jpg,0,train
data\negatives\Paul_Gauguin_239.jpg,0,train
data\negatives\Pablo_Picasso_54.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_806.jpg,1,train
data\negatives\Paul_Gauguin_50.jpg,0,train
data\negatives\Titian_199.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_173.jpg,1,train
data\negatives\Paul_Gauguin_179.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_242.jpg,1,train
data\negatives\Pablo_Picasso_245.jpg,0,train
data\negatives\Henri_Matisse_3.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_321.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_526.jpg,1,train
data\negatives\Paul_Cezanne_47.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_750.jpg,1,train
data\negatives\Claude_Monet_8.jpg,0,train
data\negatives\Andy_Warhol_139.jpg,0,train
data\negatives\Edgar_Degas_45.jpg,0,train
data\negatives\Henri_Matisse_22.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_84.jpg,1,train
data\negatives\Peter_Paul_Rubens_27.jpg,0,train
data\negatives\Amedeo_Modigliani_70.jpg,0,train
data\negatives\Andy_Warhol_122.jpg,0,train
data\negatives\Alfred_Sisley_26.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_43.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_220.jpg,1,train
data\negatives\Piet_Mondrian_8.jpg,0,train
data\negatives\Paul_Gauguin_109.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_715.jpg,1,train
data\negatives\Camille_Pissarro_10.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_154.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_214.jpg,1,train
data\negatives\Alfred_Sisley_1.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_635.jpg,1,train
data\negatives\Sandro_Botticelli_98.jpg,0,train
data\negatives\Francisco_Goya_82.jpg,0,train
data\negatives\Hieronymus_Bosch_133.jpg,0,train
data\negatives\Alfred_Sisley_235.jpg,0,train
data\negatives\Edgar_Degas_324.jpg,0,train
data\negatives\Albrecht_Du╠êrer_77.jpg,0,train
data\negatives\Henri_Matisse_39.jpg,0,train
data\negatives\El_Greco_80.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_423.jpg,1,train
data\negatives\Kazimir_Malevich_91.jpg,0,train
data\negatives\William_Turner_36.jpg,0,train
data\negatives\Alfred_Sisley_174.jpg,0,train
data\negatives\Albrecht_Du╠êrer_228.jpg,0,train
data\negatives\Sandro_Botticelli_148.jpg,0,train
data\negatives\Albrecht_Du╠êrer_273.jpg,0,train
data\negatives\Gustav_Klimt_32.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_218.jpg,0,train
data\negatives\Titian_107.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_105.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_154.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_350.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_195.jpg,1,train
data\negatives\Paul_Gauguin_291.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_827.jpg,1,train
data\negatives\Paul_Gauguin_247.jpg,0,train
data\negatives\Edgar_Degas_518.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_609.jpg,1,train
data\negatives\Sandro_Botticelli_1.jpg,0,train
data\negatives\Alfred_Sisley_195.jpg,0,train
data\negatives\Albrecht_Du╠êrer_278.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_358.jpg,1,train
data\negatives\Paul_Gauguin_263.jpg,0,train
data\negatives\Paul_Gauguin_4.jpg,0,train
data\negatives\Raphael_89.jpg,0,train
data\negatives\Rembrandt_25.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_98.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_513.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_493.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_574.jpg,1,train
data\negatives\Henri_Matisse_1.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_658.jpg,1,train
data\negatives\Edouard_Manet_52.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_2.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_489.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_175.jpg,1,train
data\negatives\Pablo_Picasso_81.jpg,0,train
data\negatives\Alfred_Sisley_130.jpg,0,train
data\negatives\Alfred_Sisley_143.jpg,0,train
data\negatives\Marc_Chagall_143.jpg,0,train
data\negatives\Paul_Klee_114.jpg,0,train
data\negatives\Alfred_Sisley_189.jpg,0,train
data\negatives\Francisco_Goya_182.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_276.jpg,1,train
data\negatives\Alfred_Sisley_105.jpg,0,train
data\negatives\Edgar_Degas_195.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_351.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_253.jpg,1,train
data\negatives\Edgar_Degas_577.jpg,0,train
data\negatives\Pablo_Picasso_7.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_461.jpg,1,train
data\negatives\Edgar_Degas_80.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_58.jpg,1,train
data\negatives\Marc_Chagall_95.jpg,0,train
data\negatives\Alfred_Sisley_25.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_196.jpg,0,train
data\negatives\Alfred_Sisley_146.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_619.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_304.jpg,1,train
data\negatives\Diego_Rivera_45.jpg,0,train
data\negatives\William_Turner_5.jpg,0,train
data\negatives\Alfred_Sisley_46.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_667.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_161.jpg,0,train
data\negatives\Gustave_Courbet_37.jpg,0,train
data\negatives\Marc_Chagall_125.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_176.jpg,0,train
data\negatives\Titian_121.jpg,0,train
data\negatives\Claude_Monet_72.jpg,0,train
data\negatives\Henri_de_Toulouse-Lautrec_64.jpg,0,train
data\negatives\Edvard_Munch_16.jpg,0,train
data\negatives\Alfred_Sisley_44.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_788.jpg,1,train
data\negatives\Marc_Chagall_55.jpg,0,train
data\negatives\Pablo_Picasso_262.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_737.jpg,1,train
data\negatives\Pierre-Auguste_Renoir_95.jpg,0,train
data\negatives\Alfred_Sisley_152.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_297.jpg,1,train
data\negatives\Leonardo_da_Vinci_98.jpg,0,train
data\negatives\Paul_Gauguin_177.jpg,0,train
data\negatives\Paul_Gauguin_31.jpg,0,train
data\negatives\Paul_Gauguin_279.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_472.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_648.jpg,1,train
data\negatives\Camille_Pissarro_7.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_424.jpg,1,train
data\negatives\Rembrandt_10.jpg,0,train
data\negatives\Frida_Kahlo_119.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_803.jpg,1,train
data\negatives\Edgar_Degas_519.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_219.jpg,1,train
data\negatives\Frida_Kahlo_23.jpg,0,train
data\negatives\Francisco_Goya_132.jpg,0,train
data\negatives\Amedeo_Modigliani_81.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_36.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_444.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_837.jpg,1,train
data\negatives\Pablo_Picasso_62.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_835.jpg,1,train
data\negatives\Albrecht_Du╠êrer_178.jpg,0,train
data\negatives\Pierre-Auguste_Renoir_160.jpg,0,train
data\negatives\Andy_Warhol_120.jpg,0,train
data\negatives\Camille_Pissarro_28.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_654.jpg,1,train
data\negatives\Amedeo_Modigliani_136.jpg,0,train
data\positives\vangogh\Vincent_van_Gogh_410.jpg,1,train
data\positives\vangogh\Vincent_van_Gogh_155.jpg,1,train
